Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
418,:ref:`LDAUW1`,:ref:`D12_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
426,:ref:`LDAUW1`,:ref:`D12_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW1`,:ref:`D13_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
418,:ref:`LDAUW1`,:ref:`D13_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW1`,:ref:`D13_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW1`,:ref:`D13_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
416,:ref:`LDAUW1`,:ref:`D14_UW`,profile_complex,Core N UW,2017-08-01,2017-08-02
417,:ref:`LDAUV`,:ref:`S1`,profile_complex,Core SE UV,2017-08-09,2017-08-10
419,:ref:`LDAUV`,:ref:`S1`,profile_complex,Core SE UV Long 1,2017-08-11,2017-08-15
420,:ref:`LDAUV`,:ref:`S1`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV`,:ref:`S1`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV`,:ref:`S1`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV`,:ref:`S1`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
417,:ref:`LDAUV`,:ref:`S2`,profile_complex,Core SE UV,2017-08-09,2017-08-10
419,:ref:`LDAUV`,:ref:`S2`,profile_complex,Core SE UV Long 1,2017-08-11,2017-08-15
420,:ref:`LDAUV`,:ref:`S2`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV`,:ref:`S2`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV`,:ref:`S2`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV`,:ref:`S2`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
417,:ref:`LDAUV`,:ref:`S3`,profile_complex,Core SE UV,2017-08-09,2017-08-10
419,:ref:`LDAUV`,:ref:`S3`,profile_complex,Core SE UV Long 1,2017-08-11,2017-08-15
420,:ref:`LDAUV`,:ref:`S3`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV`,:ref:`S3`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV`,:ref:`S3`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV`,:ref:`S3`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
417,:ref:`LDAUV`,:ref:`S4`,profile_complex,Core SE UV,2017-08-09,2017-08-10
419,:ref:`LDAUV`,:ref:`S4`,profile_complex,Core SE UV Long 1,2017-08-11,2017-08-15
420,:ref:`LDAUV`,:ref:`S4`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV`,:ref:`S4`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV`,:ref:`S4`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV`,:ref:`S4`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
417,:ref:`LDAUV`,:ref:`S5`,profile_complex,Core SE UV,2017-08-09,2017-08-10
419,:ref:`LDAUV`,:ref:`S5`,profile_complex,Core SE UV Long 1,2017-08-11,2017-08-15
420,:ref:`LDAUV`,:ref:`S5`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV`,:ref:`S5`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV`,:ref:`S5`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV`,:ref:`S5`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
417,:ref:`LDAUV`,:ref:`S6`,profile_complex,Core SE UV,2017-08-09,2017-08-10
419,:ref:`LDAUV`,:ref:`S6`,profile_complex,Core SE UV Long 1,2017-08-11,2017-08-15
420,:ref:`LDAUV`,:ref:`S6`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV`,:ref:`S6`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV`,:ref:`S6`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV`,:ref:`S6`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
417,:ref:`LDAUV`,:ref:`S7`,profile_complex,Core SE UV,2017-08-09,2017-08-10
420,:ref:`LDAUV`,:ref:`S7`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV`,:ref:`S7`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV`,:ref:`S7`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV`,:ref:`S7`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
417,:ref:`LDAUV`,:ref:`D9_REP`,profile_complex,Core SE UV,2017-08-09,2017-08-10
417,:ref:`LDAUV`,:ref:`D10`,profile_complex,Core SE UV,2017-08-09,2017-08-10
425,:ref:`LDAUV`,:ref:`D10`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
417,:ref:`LDAUV`,:ref:`D11`,profile_complex,Core SE UV,2017-08-09,2017-08-10
419,:ref:`LDAUV`,:ref:`D11`,profile_complex,Core SE UV Long 1,2017-08-11,2017-08-15
420,:ref:`LDAUV`,:ref:`D11`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV`,:ref:`D11`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV`,:ref:`D11`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV`,:ref:`D11`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
418,:ref:`LDAUW`,:ref:`S1_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`S1_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`S1_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`S1_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
418,:ref:`LDAUW`,:ref:`S2_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`S2_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`S2_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`S2_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
418,:ref:`LDAUW`,:ref:`S3_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`S3_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`S3_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`S3_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
418,:ref:`LDAUW`,:ref:`S4_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`S4_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`S4_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`S4_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
418,:ref:`LDAUW`,:ref:`S5_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`S5_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`S5_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`S5_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
418,:ref:`LDAUW`,:ref:`S6_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`S6_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`S6_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`S6_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
418,:ref:`LDAUW`,:ref:`S7_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`S7_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`S7_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`S7_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
418,:ref:`LDAUW`,:ref:`D10_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
426,:ref:`LDAUW`,:ref:`D10_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
418,:ref:`LDAUW`,:ref:`D11_UW`,profile_complex,Core SE UW,2017-08-03,2017-08-04
424,:ref:`LDAUW`,:ref:`D11_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
426,:ref:`LDAUW`,:ref:`D11_UW`,profile_complex,Increased heights SE UW,2017-08-04,2017-08-07
430,:ref:`LDAUW`,:ref:`D11_UW`,profile_complex,No Tall SE UW,2017-08-04,2017-08-04
419,:ref:`LDAUV1`,:ref:`D13`,profile_complex,Core SE UV Long 1,2017-08-11,2017-08-15
420,:ref:`LDAUV1`,:ref:`D13`,profile_complex,Core SE UV Long 2,2017-09-11,2017-09-15
423,:ref:`LDAUV1`,:ref:`D13`,profile_complex,Tall &amp; Target SE UV,2017-07-14,2017-07-14
425,:ref:`LDAUV1`,:ref:`D13`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
429,:ref:`LDAUV1`,:ref:`D13`,profile_complex,No Tall SE UV,2017-08-11,2017-08-11
421,:ref:`LDAUV1`,:ref:`BL1`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
427,:ref:`LDAUV1`,:ref:`BL1`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
421,:ref:`LDAUV1`,:ref:`BL2`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
421,:ref:`LDAUV1`,:ref:`BL3`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
427,:ref:`LDAUV1`,:ref:`BL3`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
422,:ref:`LDAUW1`,:ref:`BL1_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
422,:ref:`LDAUW1`,:ref:`BL2_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW1`,:ref:`BL2_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
422,:ref:`LDAUW1`,:ref:`BL3_UW`,profile_complex,Tall &amp; Target N UW,2017-07-31,2017-08-01
428,:ref:`LDAUW1`,:ref:`BL3_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
424,:ref:`LDAUW1`,:ref:`BL4_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
424,:ref:`LDAUW1`,:ref:`BL5_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
424,:ref:`LDAUW1`,:ref:`BL6_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
424,:ref:`LDAUW1`,:ref:`BL7_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
424,:ref:`LDAUW1`,:ref:`BL8_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
424,:ref:`LDAUW1`,:ref:`BL9_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
424,:ref:`LDAUW1`,:ref:`BL10_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
424,:ref:`LDAUW1`,:ref:`BL11_UW`,profile_complex,Tall &amp; Target SE UW,2017-08-07,2017-08-08
428,:ref:`LDAUW1`,:ref:`BL13_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL14_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL15_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL16_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL17_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL18_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL19_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL20_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL21_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
428,:ref:`LDAUW1`,:ref:`BL22_UW`,profile_complex,No Tall N UW,2017-08-02,2017-08-03
